Data e hora,Temperatura interna,Temperatura externa,Temperatura definida,Potencia ventoinha,Potencia Resistor
22-01-2023 19:53:13,0.00,0.00,0.00,0,0
22-01-2023 19:53:14,24.81,0.00,0.00,0,0
22-01-2023 19:53:15,24.81,0.00,35.00,100,0
22-01-2023 20:07:35,0.00,0.00,0.00,0,0
22-01-2023 20:07:36,26.94,0.00,0.00,0,0
22-01-2023 20:07:37,27.06,0.00,35.00,0,0
22-01-2023 20:07:38,27.19,0.00,35.00,0,0
22-01-2023 20:07:40,27.19,0.00,0.00,0,0
22-01-2023 20:07:41,27.31,0.00,35.00,100,0
22-01-2023 20:07:45,0.00,0.00,0.00,0,0
22-01-2023 20:07:47,27.62,0.00,35.00,0,0
22-01-2023 20:07:48,27.69,0.00,35.00,0,0
22-01-2023 20:07:49,27.75,0.00,35.00,0,0
22-01-2023 20:07:50,27.75,0.00,35.00,0,0
22-01-2023 20:07:52,27.75,0.00,35.00,100,0
22-01-2023 20:07:59,0.00,0.00,0.00,0,0
22-01-2023 20:08:00,0.00,0.00,0.00,0,0
22-01-2023 20:08:01,27.94,0.00,0.00,0,0
22-01-2023 20:08:02,27.88,0.00,35.00,0,0
22-01-2023 20:08:04,27.88,0.00,35.00,0,0
22-01-2023 20:08:05,28.00,0.00,0.00,0,0
22-01-2023 20:08:06,28.00,0.00,35.00,0,0
22-01-2023 20:08:07,28.00,0.00,35.00,0,0
22-01-2023 20:08:09,28.00,0.00,0.00,0,0
22-01-2023 20:08:10,28.00,0.00,35.00,0,0
22-01-2023 20:08:11,28.00,0.00,35.00,0,0
22-01-2023 20:08:12,28.12,0.00,35.00,0,0
22-01-2023 20:08:14,28.12,0.00,35.00,0,0
22-01-2023 20:08:15,28.19,0.00,35.00,0,0
22-01-2023 20:08:16,28.19,0.00,35.00,0,0
22-01-2023 20:08:17,28.19,0.00,35.00,0,0
22-01-2023 20:08:19,28.19,0.00,35.00,0,0
22-01-2023 20:08:20,28.31,0.00,35.00,100,0
22-01-2023 20:10:13,0.00,0.00,0.00,0,0
22-01-2023 20:10:15,24.00,0.00,0.00,0,0
22-01-2023 20:10:16,24.00,0.00,35.00,0,0
22-01-2023 20:10:17,24.00,0.00,35.00,0,0
22-01-2023 20:10:18,24.00,0.00,0.00,0,0
22-01-2023 20:10:20,24.00,0.00,0.00,0,0
22-01-2023 20:10:21,24.00,0.00,0.00,0,0
22-01-2023 20:10:22,24.00,0.00,35.00,0,0
22-01-2023 20:10:24,24.00,0.00,0.00,0,0
22-01-2023 20:10:25,24.00,0.00,0.00,0,0
22-01-2023 20:10:26,24.00,0.00,35.00,0,0
22-01-2023 20:10:27,24.00,0.00,0.00,0,0
22-01-2023 20:10:29,24.00,0.00,0.00,0,0
22-01-2023 20:10:30,24.00,0.00,0.00,0,0
22-01-2023 20:10:31,24.00,0.00,0.00,0,0
22-01-2023 20:11:26,0.00,0.00,0.00,0,0
22-01-2023 20:11:27,22.88,0.00,35.00,0,0
22-01-2023 20:11:28,22.81,0.00,35.00,0,0
22-01-2023 20:11:30,22.88,0.00,35.00,0,0
22-01-2023 20:11:31,22.88,0.00,0.00,0,0
22-01-2023 20:11:32,22.81,0.00,0.00,0,0
22-01-2023 20:11:33,22.81,0.00,35.00,0,0
22-01-2023 20:11:35,22.75,0.00,35.00,0,0
22-01-2023 20:11:36,22.75,0.00,35.00,0,0
22-01-2023 20:11:37,22.75,0.00,0.00,0,0
22-01-2023 20:11:38,22.69,0.00,0.00,0,0
22-01-2023 20:11:40,22.69,0.00,0.00,0,0
22-01-2023 20:11:41,22.75,0.00,0.00,0,0
22-01-2023 20:11:42,22.75,0.00,35.00,0,0
22-01-2023 20:11:43,22.69,0.00,35.00,0,0
22-01-2023 20:11:45,22.69,0.00,35.00,0,0
22-01-2023 20:11:46,22.69,0.00,35.00,0,0
22-01-2023 20:11:47,22.69,0.00,0.00,0,0
22-01-2023 20:11:48,22.62,0.00,0.00,0,0
22-01-2023 20:11:50,22.62,0.00,0.00,0,0
22-01-2023 20:11:51,22.69,0.00,35.00,0,0
22-01-2023 20:11:52,22.69,0.00,35.00,0,0
22-01-2023 20:11:53,22.69,0.00,35.00,0,0
22-01-2023 20:11:55,22.69,0.00,0.00,0,0
22-01-2023 20:11:56,22.69,0.00,35.00,0,0
22-01-2023 20:11:57,22.69,0.00,35.00,0,0
22-01-2023 20:11:58,22.62,0.00,35.00,0,0
22-01-2023 20:12:00,22.62,0.00,35.00,0,0
22-01-2023 20:12:01,22.62,0.00,0.00,0,0
22-01-2023 20:12:02,22.62,0.00,35.00,0,0
22-01-2023 20:12:03,22.62,0.00,35.00,0,0
22-01-2023 20:12:05,22.62,0.00,35.00,0,0
22-01-2023 20:12:06,22.62,0.00,35.00,0,0
22-01-2023 20:12:07,22.62,0.00,35.00,0,0
22-01-2023 20:12:08,22.62,0.00,0.00,0,0
22-01-2023 20:12:10,22.62,0.00,0.00,0,0
22-01-2023 20:12:11,22.62,0.00,0.00,0,0
22-01-2023 20:12:12,22.62,0.00,0.00,0,0
22-01-2023 20:12:13,22.62,0.00,0.00,0,0
22-01-2023 20:12:15,22.69,0.00,0.00,0,0
22-01-2023 20:12:16,22.62,0.00,0.00,0,0
22-01-2023 20:12:17,22.62,0.00,35.00,0,0
22-01-2023 20:12:18,22.62,0.00,35.00,0,100
22-01-2023 20:12:20,22.62,0.00,0.00,0,100
22-01-2023 20:12:21,22.62,0.00,35.00,0,100
22-01-2023 20:12:22,22.62,0.00,0.00,0,100
22-01-2023 20:12:23,22.62,0.00,35.00,0,100
22-01-2023 20:12:25,22.56,0.00,0.00,0,100
22-01-2023 20:12:26,22.56,0.00,0.00,100,0
22-01-2023 20:12:27,22.56,0.00,35.00,0,100
22-01-2023 20:12:28,22.62,0.00,0.00,0,100
22-01-2023 20:12:30,22.62,0.00,35.00,0,100
22-01-2023 20:12:31,22.62,0.00,35.00,0,100
22-01-2023 20:12:32,22.62,0.00,35.00,0,100
22-01-2023 20:12:33,22.56,0.00,35.00,0,100
22-01-2023 20:12:35,22.56,0.00,0.00,0,100
22-01-2023 20:12:36,22.62,0.00,35.00,0,100
22-01-2023 20:12:37,22.62,0.00,35.00,0,100
22-01-2023 20:12:38,22.62,0.00,35.00,0,100
22-01-2023 20:12:40,22.62,0.00,0.00,0,100
22-01-2023 20:12:41,22.69,0.00,0.00,0,100
22-01-2023 20:12:42,22.62,0.00,0.00,0,100
22-01-2023 20:12:43,22.69,0.00,35.00,0,100
22-01-2023 20:12:45,22.69,0.00,35.00,0,100
22-01-2023 20:12:46,22.69,0.00,35.00,0,100
22-01-2023 20:12:47,22.81,0.00,0.00,0,100
22-01-2023 20:12:48,22.81,0.00,35.00,0,100
22-01-2023 20:12:50,22.81,0.00,0.00,100,0
22-01-2023 20:12:51,22.88,0.00,35.00,0,100
22-01-2023 20:12:52,22.88,0.00,35.00,0,100
22-01-2023 20:12:53,22.94,0.00,35.00,0,100
22-01-2023 20:12:55,22.94,0.00,35.00,0,100
22-01-2023 20:12:56,23.00,0.00,0.00,100,0
22-01-2023 20:12:57,23.06,0.00,35.00,0,100
